epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,5816.07,0.94196,0.51405,0.80756,0.8911,0.67913,0.76317,0.50476,0.84974,0.48483,0.81125,0.000148625,0.000148625,0.000148625
91,5875.5,0.90181,0.51563,0.81327,0.86874,0.68975,0.75651,0.49831,0.87213,0.49495,0.81238,0.00013625,0.00013625,0.00013625
92,5935.13,0.87479,0.49475,0.81025,0.87045,0.69425,0.74506,0.49273,0.85298,0.49598,0.81112,0.000123875,0.000123875,0.000123875
93,5994.75,0.86564,0.49367,0.80912,0.8813,0.68949,0.75084,0.49294,0.86314,0.49391,0.81164,0.0001115,0.0001115,0.0001115
94,6054.45,0.84935,0.487,0.81117,0.88365,0.68684,0.74661,0.49319,0.86294,0.48964,0.81201,9.9125e-05,9.9125e-05,9.9125e-05
95,6113.89,0.85607,0.48318,0.81091,0.89177,0.67811,0.74651,0.4926,0.85093,0.48828,0.81183,8.675e-05,8.675e-05,8.675e-05
96,6173.25,0.84484,0.47873,0.80777,0.89235,0.66955,0.7436,0.48665,0.85504,0.49343,0.81138,7.4375e-05,7.4375e-05,7.4375e-05
97,6232.83,0.83751,0.4765,0.80915,0.86423,0.69816,0.75023,0.48837,0.8515,0.48543,0.81099,6.2e-05,6.2e-05,6.2e-05
98,6292.41,0.85265,0.47775,0.80626,0.88685,0.69468,0.75412,0.49424,0.8507,0.48166,0.81074,4.9625e-05,4.9625e-05,4.9625e-05
99,6352.17,0.86612,0.47653,0.8061,0.89749,0.6956,0.75496,0.49193,0.85297,0.48311,0.81037,3.725e-05,3.725e-05,3.725e-05
100,6412.81,0.84651,0.47405,0.80819,0.88752,0.69759,0.75416,0.49087,0.84579,0.48043,0.81068,2.4875e-05,2.4875e-05,2.4875e-05
